open,high,low,close,volume,timestamp
154.73,154.79,154.475,154.62,32327,2022-09-14 13:30:00
154.67,154.95,154.54,154.56,13991,2022-09-14 13:31:00
154.53,155.01,154.28,154.74,9329,2022-09-14 13:32:00
154.62,154.645,154.38,154.39,9189,2022-09-14 13:33:00
154.34,154.54,154.11,154.13,7350,2022-09-14 13:34:00
154.18,154.3,154.13,154.17,8238,2022-09-14 13:35:00
154.19,154.31,154.1,154.11,4694,2022-09-14 13:36:00
154.085,154.225,154.04,154.22,5362,2022-09-14 13:37:00
154.3,154.62,154.3,154.54,6207,2022-09-14 13:38:00
154.65,154.81,154.57,154.69,6994,2022-09-14 13:39:00
154.735,154.85,154.51,154.52,5431,2022-09-14 13:40:00
154.43,154.84,154.43,154.84,5679,2022-09-14 13:41:00
154.95,155.04,154.7,155.04,6607,2022-09-14 13:42:00
155.08,155.405,155.025,155.2,26511,2022-09-14 13:43:00
155.2,155.55,155.2,155.55,15788,2022-09-14 13:44:00
155.55,155.97,155.55,155.83,16342,2022-09-14 13:45:00
155.94,156.16,155.73,155.74,9959,2022-09-14 13:46:00
155.75,155.785,155.67,155.775,8287,2022-09-14 13:47:00
155.78,155.79,155.57,155.57,6494,2022-09-14 13:48:00
155.54,155.57,155.39,155.42,7777,2022-09-14 13:49:00
155.42,155.43,155.335,155.375,4610,2022-09-14 13:50:00
155.395,155.57,155.38,155.405,17152,2022-09-14 13:51:00
155.385,155.51,155.155,155.4,21882,2022-09-14 13:52:00
155.41,155.715,155.39,155.7,8015,2022-09-14 13:53:00
155.66,155.72,155.42,155.42,15325,2022-09-14 13:54:00
155.43,155.58,155.22,155.36,8659,2022-09-14 13:55:00
155.33,155.515,155.31,155.35,5213,2022-09-14 13:56:00
155.32,155.42,155.13,155.39,5037,2022-09-14 13:57:00
156.06,156.07,155.74,155.74,10905,2022-09-14 14:00:00
155.48,155.55,155.42,155.48,4895,2022-09-14 14:34:00
155.47,155.64,155.47,155.61,5055,2022-09-14 14:35:00
155.63,155.76,155.63,155.66,4412,2022-09-14 14:36:00
155.685,155.71,155.5,155.65,9269,2022-09-14 14:37:00
155.64,156.02,155.62,155.965,9743,2022-09-14 14:38:00
156.0,156.08,155.93,155.95,4541,2022-09-14 14:39:00
155.925,155.925,155.83,155.89,1655,2022-09-14 14:40:00
156.0,156.165,155.92,156.115,5040,2022-09-14 14:41:00
156.17,156.36,156.17,156.31,3713,2022-09-14 14:42:00
156.29,156.57,156.27,156.48,8004,2022-09-14 14:43:00
156.45,156.48,156.39,156.48,3938,2022-09-14 14:44:00
156.53,156.6,156.4,156.485,5206,2022-09-14 14:45:00
156.42,156.56,156.31,156.465,4913,2022-09-14 14:46:00
156.48,156.48,156.25,156.25,7956,2022-09-14 14:47:00
156.25,156.325,156.18,156.21,4567,2022-09-14 14:48:00
156.225,156.23,156.11,156.21,1835,2022-09-14 14:49:00
156.3,156.33,156.15,156.33,2845,2022-09-14 14:50:00
156.28,156.28,156.14,156.16,1788,2022-09-14 14:51:00
156.43,156.43,156.12,156.16,4016,2022-09-14 14:55:00
